,base_market,quote_market,hedge_ratio,half_life
0,SNX-USD,XTZ-USD,2.9610698505118673,3.0
1,SNX-USD,ICP-USD,0.589956091147734,3.0
2,SNX-USD,LINK-USD,0.33773406783280546,3.0
3,SNX-USD,ATOM-USD,0.2810025325307687,3.0
4,SNX-USD,BCH-USD,0.010555831171572171,4.0
5,SNX-USD,ENJ-USD,8.521961753475287,3.0
6,SNX-USD,RUNE-USD,1.3304978120157291,4.0
7,SNX-USD,FIL-USD,0.6069288906290679,3.0
8,SNX-USD,ZRX-USD,11.86913320831975,3.0
9,SNX-USD,TRX-USD,27.425075486523927,4.0
10,SNX-USD,YFI-USD,0.0003688966356263227,4.0
11,SNX-USD,COMP-USD,0.04853558533534131,3.0
12,SNX-USD,XLM-USD,17.030235788426587,3.0
13,SNX-USD,EOS-USD,3.4977957604821364,4.0
14,SNX-USD,NEAR-USD,1.7648801258669677,4.0
15,SNX-USD,ALGO-USD,21.456543534558264,3.0
16,SNX-USD,SUSHI-USD,3.4629707518460253,4.0
17,SNX-USD,ADA-USD,7.864773928711152,3.0
18,SNX-USD,UMA-USD,1.506800778943961,3.0
19,SNX-USD,DOT-USD,0.46199323139483395,4.0
20,SNX-USD,CRV-USD,4.32211588738121,3.0
21,SNX-USD,SOL-USD,0.09822510650884674,3.0
22,SNX-USD,LTC-USD,0.03126435827115815,3.0
23,SNX-USD,AAVE-USD,0.03637293851379001,4.0
24,SNX-USD,UNI-USD,0.43319137677242503,3.0
25,SNX-USD,MATIC-USD,3.6682963489719382,3.0
26,SNX-USD,AVAX-USD,0.19861396054760672,3.0
27,XTZ-USD,ZEC-USD,0.027841566116694895,7.0
28,XTZ-USD,ENJ-USD,2.8766426824600817,10.0
29,XTZ-USD,FIL-USD,0.20471996211048893,21.0
30,XTZ-USD,XMR-USD,0.004843288872254223,18.0
31,XTZ-USD,UMA-USD,0.5047949544964208,4.0
32,XTZ-USD,BTC-USD,2.6469735164591008e-05,17.0
33,XTZ-USD,DOT-USD,0.156016796320788,10.0
34,XTZ-USD,MATIC-USD,1.2380980822257328,17.0
35,XTZ-USD,1INCH-USD,2.8178054506788475,9.0
36,XTZ-USD,ETH-USD,0.00041820363706483895,10.0
37,ICP-USD,ENJ-USD,14.4440738269492,10.0
38,ICP-USD,ZRX-USD,20.10726109990839,12.0
39,ICP-USD,COMP-USD,0.08224608415785553,10.0
40,ICP-USD,DOT-USD,0.7833800669221589,8.0
41,ETC-USD,YFI-USD,0.0028092478419949754,12.0
42,ETC-USD,NEAR-USD,13.441965309244173,7.0
